job_role,required_skills
Mortgage Underwriter,Underwriting Mortgage Products Financial Analysis Regulations Compliance
Real Estate Appraiser,Property Valuation Market Analysis Data Research Report Writing
Property Manager,Tenant Relations Lease Management Maintenance Coordination Budgeting
Escrow Officer,Escrow Procedures Real Estate Law Title Insurance Document Preparation
Title Officer,Title Examination Property Law Legal Documentation Communication
Loan Closer,Loan Closing Documentation Legal Compliance Communication Detail Oriented
Loan Processor,Loan Application Processing Document Review Underwriting Requirements
Human Resources Business Partner,Strategic Planning Employee Relations Talent Management Change Management
HRIS Analyst,HRIS Systems Workday SAP SuccessFactors Data Analysis Reporting
Compensation and Benefits Manager,Compensation Strategy Benefits Administration Market Data Analysis
Payroll Specialist,Payroll Processing Tax Regulations Payroll Software
Talent Acquisition Specialist,Recruitment Strategy Sourcing Interviewing
Recruitment Coordinator,Candidate Scheduling Interview Logistics Applicant Tracking Systems
Corporate Trainer,Presentation Skills Training Delivery Facilitation Subject Expertise
Learning and Development Manager,Training Programs Curriculum Design Learning Systems
Instructional Designer,Curriculum Design Learning Objectives Multimedia Development
Curriculum Developer,Instructional Design Subject Matter Expertise Learning Objectives Assessment Design
Special Education Teacher,Special Education Law IEP Development Behavior Management Differentiated Instruction
School Psychologist,Psychological Assessment Counseling Diagnosis Communication
School Counselor,Student Counseling Career Guidance Mental Health Support
Academic Advisor,Student Counseling Academic Planning Communication University Policies
University Registrar,Student Records Management Academic Regulations Data Entry
Admissions Officer,Student Recruitment Application Review Public Speaking
Financial Aid Officer,Financial Aid Programs Regulations Communication Data Entry
Librarian,Cataloging Systems Research Assistance Customer Service
Archivist,Archival Principles Records Management Digital Preservation
Museum Curator,Exhibition Curation Collections Management Art History
Museum Educator,Exhibition Interpretation Public Speaking Education Curriculum
Tour Guide,Public Speaking Historical Knowledge Storytelling Communication
Park Ranger,Law Enforcement Public Safety Visitor Services Environmental Education
Environmental Scientist,Environmental Regulations Data Collection GIS Software Field Work
Conservation Scientist,Conservation Biology Ecosystem Management Field Work Data Analysis
Urban and Regional Planner,Urban Planning GIS Software Zoning Regulations Community Engagement
Hydrologist,Hydrology Water Resources GIS Software Data Analysis
Geologist,Geological Survey Rock Analysis Field Work Mapping GIS Software
Meteorologist,Weather Forecasting Data Analysis Atmospheric Science
Astronomer,Astronomical Observation Data Analysis Research Methods Telescope Operation
Chemist,Chemical Analysis Laboratory Techniques Research Methods Safety Protocols
Physicist,Physics Principles Research Methods Mathematical Analysis
Biologist,Biological Research Laboratory Techniques Data Analysis Scientific Writing
Microbiologist,Microbiology Laboratory Techniques Culture Methods Research Skills
Geneticist,Genetics DNA Sequencing Genetic Analysis Laboratory Techniques
Cytotechnologist,Cell Analysis Microscopy Diagnostic Skills Anatomy Pathology
Medical Laboratory Technician,Laboratory Testing Sample Analysis Medical Equipment Operation
Radiologic Technologist,X Ray Imaging Patient Positioning Radiation Safety
Surgical Technologist,Surgical Procedures Sterilization Patient Preparation Surgical Instruments
Medical Assistant,Patient Intake Vital Signs Medical Records Phlebotomy
Dental Hygienist,Oral Hygiene Teeth Cleaning Patient Education
Dental Assistant,Dental Procedures X Rays Sterilization Patient Care
Veterinary Technician,Animal Care Veterinary Procedures Restraint
Veterinary Assistant,Animal Care Restraint Patient Records Customer Service
Registered Nurse,Patient Care Medical Terminology Vital Signs Monitoring
Licensed Practical Nurse,Patient Care Vital Signs Medication Administration
Surgical Nurse,Surgical Assistance Patient Monitoring Sterilization
Pediatric Nurse,Pediatric Care Child Psychology Patient Communication
Oncology Nurse,Oncology Care Chemotherapy Administration Patient Counseling
Nurse Practitioner,Patient Diagnosis Treatment Planning Prescription Management
Physician Assistant,Patient Diagnosis Treatment Planning Medical Records
Physical Therapist,Rehabilitation Techniques Exercise Prescription
Physical Therapist Assistant,Patient Care Exercise Instruction Rehabilitation Techniques
Occupational Therapist,Activity Analysis Adaptive Equipment Patient Evaluation
Occupational Therapy Assistant,Activity of Daily Living Training Adaptive Equipment
Speech Therapist,Speech Assessment Treatment Planning Articulation Therapy
Dietitian,Clinical Nutrition Medical Nutrition Therapy Patient Assessment
Nutritionist,Dietary Planning Nutritional Assessment Meal Planning
Pharmacist,Medication Dispensing Drug Interactions Patient Counseling
Pharmacy Technician,Medication Dispensing Inventory Management Customer Service
Medical Biller,Medical Terminology ICD 10 CPT Coding Insurance Claims
Medical Coder,Medical Terminology ICD 10 CPT Coding HIPAA Regulations
Health Information Manager,Health Information Systems Medical Records HIPAA Regulations
Hospital Administrator,Hospital Operations Staff Management Budgeting Patient Care
Medical Social Worker,Case Management Counseling Community Resources Crisis Intervention
Medical Doctor,Medical Diagnosis Patient Treatment Clinical Skills Anatomy
Surgeon,Surgical Procedures Patient Care Anatomy Knowledge Decision Making
Anesthesiologist,Anesthesia Administration Patient Monitoring Pain Management
Cardiologist,Heart Disease Diagnosis Diagnostic Imaging Cardiac Procedures
Dermatologist,Skin Conditions Diagnosis Dermatologic Procedures
Emergency Medicine Physician,Emergency Care Trauma Management Quick Decision Making
Family Physician,Patient Care Medical Diagnosis Preventive Care
Neurologist,Neurological Disorders Diagnostic Testing Patient Assessment
Oncologist,Cancer Diagnosis Treatment Planning Chemotherapy
Pediatrician,Child Healthcare Development Assessment Pediatric Diseases
Psychiatrist,Mental Health Diagnosis Psychopharmacology Patient Treatment
Radiologist,Medical Imaging Image Interpretation Diagnostic Skills
Forensic Pathologist,Autopsy Procedures Cause of Death Analysis Forensic Science
Coroner,Death Investigation Autopsy Procedures Legal Documentation
Crime Scene Investigator,Crime Scene Preservation Evidence Collection Photography
Forensic Scientist,Forensic Science Crime Scene Investigation Lab Analysis
Forensic DNA Analyst,DNA Analysis PCR Gel Electrophoresis Lab Techniques
Forensic Chemist,Chemical Analysis Toxicology Drug Analysis Lab Techniques
Forensic Psychologist,Forensic Assessment Criminal Behavior Profiling Legal Procedures
Polygraph Examiner,Polygraph Examination Interview Techniques Physiology
Court Reporter,Stenography Typing Speed Legal Terminology
Paralegal,Legal Research Document Preparation Case Management
Legal Assistant,Legal Document Preparation Scheduling Filing Customer Service
Legal Secretary,Typing Legal Terminology Dictation Transcription
Lawyer,Legal Research Case Analysis Litigation
Public Defender,Criminal Law Legal Research Client Advocacy Courtroom Experience
Prosecutor,Criminal Law Legal Research Litigation Case Analysis
Corporate Lawyer,Contract Law Corporate Governance Mergers Acquisitions
Family Law Attorney,Family Law Divorce Child Custody Mediation
Environmental Lawyer,Environmental Law Regulations Compliance Litigation
Patent Attorney,Patent Law Intellectual Property Legal Research Technical Writing
Immigration Lawyer,Immigration Law Visa Petitions Client Advocacy
Real Estate Lawyer,Real Estate Law Property Transactions Contracts
Tax Lawyer,Tax Law Tax Planning IRS Regulations
Lobbyist,Government Relations Political Science Communication Networking
Political Scientist,Political Science Research Methods Data Analysis Public Policy
Policy Analyst,Policy Analysis Research Skills Report Writing Data Analysis
Public Administrator,Public Administration Government Operations Budget Management
Urban Planner,Zoning Regulations GIS Software Community Engagement
City Manager,Municipal Government Operations Budget Management Public Relations
Mayor,Public Speaking Leadership Policy Making Community Engagement
Public Health Nurse,Community Health Promotion Disease Prevention Patient Education
Epidemiologist,Disease Surveillance Statistical Analysis Public Health
Biostatistician,Biostatistics Statistical Modeling R Programming Data Analysis
Food Inspector,Food Safety Health Regulations Inspection Procedures
Health Inspector,Health Regulations Food Safety Inspection Procedures
Building Inspector,Building Codes Inspection Procedures Safety Regulations
Fire Inspector,Fire Codes Inspection Procedures Fire Safety Equipment
Safety Manager,Safety Regulations Risk Assessment Training Program Development
Environmental Health Safety Specialist,Safety Procedures Environmental Regulations Auditing
Occupational Health Specialist,Workplace Health Risk Assessment Ergonomics
Physical Security Specialist,Security Systems Access Control Video Surveillance Risk Assessment
Security Guard,Patrol Surveillance Access Control Communication First Aid
Private Investigator,Surveillance Research Interviewing Report Writing Legal Knowledge
Bodyguard,Personal Protection Risk Assessment Physical Fitness Defensive Tactics
Firearms Instructor,Firearms Safety Instruction Marksmanship Range Management
Police Officer,Law Enforcement Criminal Investigation Public Safety
Detective,Criminal Investigation Evidence Collection Interviewing Report Writing
Forensic Analyst,Forensic Science Lab Analysis Report Writing Expert Testimony
Correctional Officer,Inmate Supervision Security Procedures Crisis Management
Probation Officer,Probation Supervision Case Management Communication Documentation
Parole Officer,Parole Supervision Case Management Communication Documentation
Air Traffic Controller,Radar Operation Communication Multitasking Stress Management
Pilot,Aircraft Operation Navigation Weather Analysis Emergency Procedures
Flight Attendant,Customer Service Safety Procedures First Aid
Ramp Agent,Aircraft Marshalling Luggage Handling Safety Procedures
Baggage Handler,Luggage Handling Physical Stamina Safety Procedures
Customer Service Agent,Customer Service Ticketing Boarding Procedures Communication
Sales Representative,Sales Strategy Customer Relationship Management Negotiation
Sales Manager,Sales Strategy Team Leadership Revenue Forecasting
Sales Director,Sales Leadership Strategy Development Team Management
VP Sales,Sales Leadership Revenue Strategy Team Management
Account Executive,Sales Strategy Client Acquisition Negotiation
Account Manager,Client Relations Sales Strategy Negotiation
Business Development Manager,Lead Generation Partnership Development Market Research
Inside Sales Representative,Phone Sales Lead Qualification
Outside Sales Representative,Field Sales Client Visits Relationship Building
Retail Sales Associate,Customer Service Product Knowledge Sales Techniques
Customer Success Manager,Client Relations Account Management
Client Relations Manager,Relationship Management Account Growth Client Satisfaction
Key Account Manager,Strategic Account Management Executive Relations
Partner Manager,Partnership Development Relationship Management
Channel Sales Manager,Channel Strategy Partner Relations
Marketing Manager,Marketing Strategy Brand Management Social Media
Marketing Coordinator,Campaign Support Event Planning Vendor Coordination
Digital Marketing Specialist,SEO Google Analytics Social Media Marketing
SEO Specialist,Keyword Research On Page SEO Link Building
PPC Specialist,Google Ads Bing Ads Campaign Management
Social Media Manager,Content Creation Social Media Platforms Analytics
Content Writer,Content Creation SEO Writing Research Skills
Copywriter,Persuasive Writing Creativity Marketing Knowledge
Public Relations Specialist,Media Relations Press Release Writing
Brand Manager,Brand Strategy Market Research Campaign Planning
Marketing Director,Marketing Strategy Team Leadership
Chief Marketing Officer,Strategic Leadership Brand Vision
Media Planner,Media Strategy Budget Allocation Audience Research
Media Buyer,Media Purchasing Negotiation Budget Management
Growth Hacker,Growth Strategies A B Testing Analytics User Acquisition
Conversion Rate Optimization Specialist,A B Testing Analytics User Experience
Financial Analyst,Financial Modeling Excel Data Analysis
Accountant,Financial Accounting Tax Preparation GAAP Knowledge
Auditor,Auditing Financial Accounting Compliance
Tax Accountant,Tax Law Tax Preparation
Budget Analyst,Budget Planning Financial Analysis
Financial Controller,Financial Reporting Budget Management
Chief Financial Officer,Strategic Planning Financial Leadership
Investment Analyst,Financial Analysis Investment Research
Portfolio Manager,Investment Strategy Portfolio Analysis
Wealth Manager,Financial Planning Investment Management
Credit Analyst,Credit Assessment Financial Analysis
Loan Officer,Credit Analysis Financial Assessment
Mortgage Broker,Loan Products Client Assessment
Insurance Agent,Policy Knowledge Sales Skills
Financial Advisor,Investment Planning Client Relations
Real Estate Agent,Property Marketing Negotiation
Real Estate Appraiser,Property Valuation Market Analysis
Property Manager,Tenant Relations Lease Management
Construction Manager,Project Scheduling Budget Management
Civil Engineer,Structural Analysis AutoCAD
Mechanical Engineer,CAD Design Thermodynamics
Electrical Engineer,Circuit Design Electrical Systems
Chemical Engineer,Process Design Chemical Reactions
Industrial Engineer,Process Optimization Lean Manufacturing
Aerospace Engineer,Aerodynamics Flight Mechanics
Environmental Engineer,Environmental Regulations Water Treatment
Architect,Architectural Design AutoCAD Building Codes
Landscape Architect,Landscape Design Plant Knowledge
Interior Designer,Space Planning Design Software
Urban Planner,Zoning Regulations GIS Software
Graphic Designer,Adobe Photoshop Adobe Illustrator
UX UI Designer,User Research Wireframing Prototyping
Content Writer,Content Creation SEO Writing
Copywriter,Persuasive Writing Creativity Marketing
Technical Writer,Technical Documentation User Manuals
Digital Marketing Specialist,SEO Google Analytics Social Media
SEO Specialist,Keyword Research On Page SEO
PPC Specialist,Google Ads Bing Ads Campaign Management
Social Media Manager,Content Creation Social Media Platforms
Content Strategist,Content Planning SEO Strategy
Community Manager,Community Engagement Social Media Content Creation
Project Manager,Project Planning Risk Management
Scrum Master,Agile Methodology Scrum Framework
Business Analyst,Requirements Gathering Data Analysis
Management Consultant,Business Analysis Process Improvement
Strategy Consultant,Strategic Planning Business Analysis
Operations Manager,Process Improvement Team Leadership
Human Resources Manager,Recruitment Talent Management
Talent Acquisition Specialist,Recruitment Strategy Sourcing
Recruiter,Candidate Screening Interview Techniques
Training Specialist,Curriculum Development Presentation Skills
Compensation Analyst,Salary Benchmarking Data Analysis
Payroll Specialist,Payroll Processing Tax Regulations
Benefits Administrator,Benefits Programs Enrollment
Librarian,Cataloging Systems Research Assistance
School Counselor,Student Counseling Career Guidance
Social Worker,Case Management Counseling Skills
Lawyer,Legal Research Case Analysis Litigation
Paralegal,Legal Research Document Preparation
Police Officer,Law Enforcement Criminal Investigation
Firefighter,Fire Suppression Emergency Response
Paramedic,Emergency Medical Care Patient Assessment
Registered Nurse,Patient Care Medical Terminology
Physician,Medical Diagnosis Patient Treatment
Pharmacist,Medication Dispensing Drug Interactions
Physical Therapist,Rehabilitation Techniques Exercise
Occupational Therapist,Activity Analysis Adaptive Equipment
Dental Hygienist,Oral Hygiene Teeth Cleaning
Medical Laboratory Technician,Laboratory Testing Sample Analysis
Radiologic Technologist,X Ray Imaging Patient Positioning
Veterinarian,Animal Diagnosis Surgery Skills
Teacher,Lesson Planning Classroom Management Subject Expertise
Professor,Subject Matter Expertise Research Skills
Journalist,News Writing Research Skills Interviewing
Editor,Proofreading Editing Grammar Knowledge
Public Relations Specialist,Media Relations Press Release Writing
Brand Manager,Brand Strategy Market Research
Marketing Director,Marketing Strategy Team Leadership
Sales Director,Sales Leadership Strategy Development
VP Engineering,Engineering Leadership Team Management
VP Product,Product Strategy Market Research
VP Marketing,Marketing Strategy Brand Leadership
VP Sales,Sales Leadership Revenue Strategy
VP Operations,Operations Strategy Process Excellence
VP Finance,Financial Strategy Team Leadership
VP Human Resources,HR Strategy Talent Management
CIO,IT Strategy Digital Transformation
CTO,Technology Strategy Technical Leadership
CDO,Data Strategy Data Governance
CEO,Executive Leadership Strategic Vision
